"","firm","longitude","latitude","collected"
"463","starbucks",-106.5936,39.645,2008
"464","starbucks",-106.600677,52.114687,2008
"465","starbucks",-106.600677,52.114687,2008
"466","starbucks",-106.606742,35.079705,2008
"467","starbucks",-106.612175,35.133753,2008
"468","starbucks",-106.620017,52.114816,2008
"469","starbucks",-106.628353,52.129065,2008
"470","starbucks",-106.636109,52.128795,2008
"471","starbucks",-106.642148,52.130792,2008
"472","starbucks",-106.642305,52.167371,2008
"473","starbucks",-106.642305,52.167371,2008
"474","starbucks",-106.642793,35.090777,2008
"475","starbucks",-106.647742,35.085027,2008
"476","starbucks",-106.650372,35.086539,2008
"477","starbucks",-106.650552,35.205581,2008
"478","starbucks",-106.65673,52.118433,2008
"479","starbucks",-106.658892,35.206058,2008
"480","starbucks",-106.659666,35.22792,2008
"481","starbucks",-106.663794,52.128741,2008
"482","starbucks",-106.66666,52.126687,2008
"483","starbucks",-106.67029,35.102604,2008
"484","starbucks",-106.687853,35.176987,2008
"485","starbucks",-106.698666,35.112449,2008
"486","starbucks",-106.700762,35.241515,2008
"487","starbucks",-106.712814,35.139057,2008
"488","starbucks",-106.7382,35.2574,2008
"489","starbucks",-106.744,32.3162,2008
"490","starbucks",-106.756691,32.284044,2008
"491","starbucks",-106.757045,34.813648,2008
"492","starbucks",-106.765,32.3472,2008
"493","starbucks",-106.785,32.2908,2008
"494","starbucks",-106.81848,39.187137,2008
"495","starbucks",-106.820537,40.46236,2008
"496","starbucks",-106.825581,40.467599,2008
"497","starbucks",-106.827914,39.661909,2008
"498","starbucks",-106.8311,40.485,2008
"499","starbucks",-106.926871,38.553455,2008
"500","starbucks",-106.942526,44.7742,2008
"501","starbucks",-107.087006,39.391285,2008
"502","starbucks",-107.287889,39.477258,2008
"503","starbucks",-107.325261,39.532049,2008
"504","starbucks",-107.351809,39.561445,2008
"505","starbucks",-107.562498,40.514212,2008
"506","starbucks",-107.77121,39.524018,2008
"507","starbucks",-107.8654,38.4712,2008
"508","starbucks",-107.86552,38.458355,2008
"509","starbucks",-107.866216,38.453382,2008
"510","starbucks",-107.881574,37.269767,2008
